team,player,position,mpg,ppg,team_ppg
Akron,Tavari Johnson,G,32.0,20.1,93.1
Akron,Amani Lyles,F,26.2,14.6,93.1
Akron,Shammah Scott,G,26.5,12.7,93.1
Akron,Evan Mahaffey,G,28.4,10.2,93.1
Akron,Bowen Hardman,G,18.3,7.9,93.1
Akron,Eric Mahaffey,G,22.1,7.8,93.1
Akron,Sharron Young,G,19.1,7.3,93.1
Akron,Chabi Barre,F,6.8,3.3,93.1
Akron,Zach Halligan,G,11.7,2.7,93.1
Akron,Ognjen Stankovic,G,6.9,2.4,93.1
Akron,Marvin Musiime-Kamali,G,8.9,2.1,93.1
Akron,Rich Brisco,F,2.7,1.1,93.1
Akron,Conner Groce,G,2.2,0.9,93.1
Alabama,Labaron Philon Jr.,G,30.3,21.7,117.2
Alabama,Aden Holloway,G,28.4,16.8,117.2
Alabama,Latrell Wrightsell,G,26.9,12.8,117.2
Alabama,Amari Allen,F,28.4,11.7,117.2
Alabama,Aiden Sherrell,F,23.6,11.1,117.2
Alabama,Charles Bediako,C,21.6,10.0,117.2
Alabama,Houston Mallette,G,23.3,6.6,117.2
Alabama,Taylor Bol Bowen,F,18.7,6.2,117.2
Alabama,London Jemison,F,14.9,6.2,117.2
Alabama,Jalil Bethea,G,8.3,4.4,117.2
Alabama,Keitenn Bristow,F,12.5,3.6,117.2
Alabama,Davion Hannah,G,12.7,3.3,117.2
Alabama,Noah Williamson,C,8.3,1.1,117.2
Alabama,Collins Onyejiaka,C,5.5,1.0,117.2
Alabama,Jacob Martin,F,1.4,0.4,117.2
Alabama,Preston Murphy Jr.,G,1.7,0.3,117.2
Alabama,Klark James,G,1.0,0.0,117.2
Alabama,Jack Fagan,G,1.0,0.0,117.2
Arizona,Brayden Burries,G,29.5,15.9,89.1
Arizona,Koa Peat,F,27.3,13.6,89.1
Arizona,Jaden Bradley,G,30.4,13.3,89.1
Arizona,Motiejus Krivas,C,24.9,10.5,89.1
Arizona,Ivan Kharchenkov,F,27.7,10.1,89.1
Arizona,Tobe Awaka,F,21.4,9.4,89.1
Arizona,Anthony Dell'Orso,G,21.8,9.0,89.1
