team,team_net_rank,quadrant,sub_quadrant,opp_net_rank,location,opponent,is_conference,team_score,opp_score,result,overtime,date
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,2,N,Michigan,False,68,63,W,False,02-21
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,4,H,Florida,False,67,66,W,False,12-02
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,11,A,Michigan State,False,66,60,W,False,12-06
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,12,H,Virginia,True,77,51,W,False,02-28
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,12,N,Virginia,True,74,70,W,False,03-14
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,15,N,Arkansas,False,80,71,W,False,11-27
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,17,A,Louisville,True,84,73,W,False,01-06
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,19,N,Texas Tech,False,81,82,L,False,12-20
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,21,N,Kansas,False,78,66,W,False,11-18
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,24,A,North Carolina,True,68,71,L,False,02-07
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,36,A,North Carolina State,True,93,64,W,False,03-02
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,17,H,Louisville,True,83,52,W,False,01-26
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,24,H,North Carolina,True,76,61,W,False,03-07
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,34,N,Clemson,True,73,61,W,False,03-13
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,42,N,Texas,False,75,60,W,False,11-04
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,55,A,Virginia Tech,True,72,58,W,False,01-31
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,61,A,Stanford,True,80,50,W,False,01-17
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,62,A,Florida State,True,91,87,W,False,01-03
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,67,A,California,True,71,56,W,False,01-14
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,34,H,Clemson,True,67,54,W,False,02-14
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,37,H,SMU,True,82,75,W,False,01-10
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,62,N,Florida State,True,80,79,W,False,03-12
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,94,A,Notre Dame,True,100,56,W,False,02-24
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,66,H,Wake Forest,True,90,69,W,False,01-24
Duke,1,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,104,A,Pittsburgh,True,70,54,W,False,02-10
Duke,1,Quadrant 3,H: 76-160 | N: 101-200 | A: 136-240,86,H,Syracuse,True,101,64,W,False,02-16
Duke,1,Quadrant 3,H: 76-160 | N: 101-200 | A: 136-240,158,H,Boston College,True,67,49,W,False,02-03
Duke,1,Quadrant 3,H: 76-160 | N: 101-200 | A: 136-240,169,H,Georgia Tech,True,85,79,W,False,12-31
Duke,1,Quadrant 3,H: 76-160 | N: 101-200 | A: 136-240,193,H,Lipscomb,False,97,73,W,False,12-16
Duke,1,Quadrant 3,H: 76-160 | N: 101-200 | A: 136-240,203,H,Howard,False,93,56,W,False,11-23
Duke,1,Quadrant 3,H: 76-160 | N: 101-200 | A: 136-240,213,H,Indiana State,False,100,62,W,False,11-14
Duke,1,Quadrant 3,H: 76-160 | N: 101-200 | A: 136-240,228,H,Western Carolina,False,95,54,W,False,11-08
Duke,1,Quadrant 3,H: 76-160 | N: 101-200 | A: 136-240,336,A,Army,False,114,59,W,False,11-11
Duke,1,Quadrant 3,H: 76-160 | N: 101-200 | A: 136-240,341,H,Niagara,False,100,42,W,False,11-21
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,1,N,Duke,False,63,68,L,False,02-21
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,7,N,Gonzaga,False,101,61,W,False,11-26
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,8,A,Illinois,True,84,70,W,False,02-27
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,9,A,Purdue,True,91,80,W,False,02-17
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,9,N,Purdue,True,72,80,L,False,03-15
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,11,A,Michigan State,True,83,71,W,False,01-30
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,11,H,Michigan State,True,90,80,W,False,03-08
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,14,H,Nebraska,True,75,72,W,False,01-27
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,25,N,Wisconsin,True,68,65,W,False,03-14
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,27,A,Iowa,True,71,68,W,False,03-05
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,29,A,Ohio State,True,82,61,W,False,02-08
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,39,A,TCU,False,67,63,W,False,11-14
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,25,H,Wisconsin,True,88,91,L,False,01-10
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,29,H,Ohio State,True,74,62,W,False,01-23
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,29,N,Ohio State,True,71,67,W,False,03-13
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,30,H,UCLA,True,86,56,W,False,02-14
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,38,N,Auburn,False,102,72,W,False,11-25
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,47,N,San Diego State,False,94,54,W,False,11-24
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,57,A,Washington,True,82,72,W,False,01-14
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,65,A,Northwestern,True,87,75,W,False,02-11
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,35,H,Villanova,False,89,61,W,False,12-09
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,41,H,Indiana,True,86,72,W,False,01-20
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,66,N,Wake Forest,False,85,84,W,True,11-11
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,56,H,McNeese,False,112,71,W,False,12-29
Michigan,2,Quadrant 1,H: 1-15 | N: 1-25 | A: 1-40,109,A,Oregon,True,81,71,W,False,01-17
